Seniority Level,Position,Is Job Related to Innovation,Department,Industry,Employee,Country,Tenure
Middle Management,"Jefe de Consultorias, asesorias y servicios tecnicos",I support innovation projects,Quality or Process Excellence,Professional Services,,Colombia,3 to 5 years
,,,,Other,,,
,,,,,,,
Senior Management,Owner,I lead innovation projects,Corporate or Executive Management,Professional Services,From 1 to 9,India,More than 5 years
Middle Management,Asociado de Innovación,I lead an innovation department,Production,Oil & Gas,,Colombia,More than 5 years
,,,,Oil & Gas,,Colombia,More than 5 years
,,I lead innovation projects,,,,Albania,1 to 3 years
Middle Management,Scrum Master,I support innovation projects,Product Management,Professional Services,From 10 to 49,United Kingdom,1 to 3 years
Middle Management,Leader of continuous improvement,I support innovation projects,Project or Program Management,Agriculture,250,Guatemala,More than 5 years
Senior Management,Executive Director ,I lead innovation projects,Corporate or Executive Management,Education,From 10 to 49,Nigeria,More than 5 years
Senior Management,Sr Consultant,I lead innovation projects,Project or Program Management,Professional Services,From 1 to 9,United States of America,More than 5 years
Middle Management,líder comercial ,I support innovation projects,Corporate or Executive Management,Engineering & Manufacturing,,Colombia,1 to 3 years
Senior Management,CTO,I lead an innovation department,Information Technology (IT),Professional Services,From 10 to 49,United States of America,More than 5 years
Junior Management,Water Supply Operations Officer,I support innovation projects,Production,Other,250,Philippines,More than 5 years
Senior Management,Executive Director of Innovation,I lead an innovation department,Corporate or Executive Management,Education,From 50 to 249,United States of America,More than 5 years
Senior Management,Consultant Analyst,I support innovation projects,Information Technology (IT),,,United States of America,1 to 3 years
Senior Management,Partner,I lead an innovation department,Strategy,Other,250,Afghanistan,More than 5 years
,Support agent,,,,,,1 to 3 years
,Seniorrådgiver ,,,IT & Telecommunications,,Norway,More than 5 years
Junior Management,Junior Analyst ,I support innovation projects,Project or Program Management,,From 50 to 249,United States of America,Less than 1 year
Junior Management,Consultant ,I support innovation projects,Project or Program Management,Other,From 10 to 49,United States of America,Less than 1 year
Junior Management,Research Analyst Intern,I support innovation projects,Audit & Risk Management,Other,From 50 to 249,United States of America,Less than 1 year
Junior Management,Associate Consultant,I support innovation projects,Strategy,Other,From 50 to 249,United States of America,Less than 1 year
Junior Management,Associate Consultant,I support innovation projects,Strategy,Other,From 10 to 49,United States of America,Less than 1 year
Senior Management,Program Director -  Innovation Hub,I lead an innovation department,Project or Program Management,Professional Services,250,United States of America,Less than 1 year
Junior Management,IT Team/ Support Agent,I support innovation projects,Information Technology (IT),IT & Telecommunications,From 10 to 49,United States of America,1 to 3 years
,,,,Other,,United States of America,
Senior Management,Consultant,I lead an innovation department,Strategy,Government,250,United Arab Emirates,3 to 5 years
Senior Management,senior consultant,I lead innovation projects,Audit & Risk Management,,,,
Senior Management,Gerente de Innovación y Desarrollo,I lead an innovation department,Sales,IT & Telecommunications,,Colombia,1 to 3 years
Middle Management,Student,I support innovation projects,Sales,Education,250,United States of America,1 to 3 years
Senior Management,Asesor de Proyectos e Innovación,I lead innovation projects,Sales,Life Science & Healthcare,,Colombia,More than 5 years
Senior Management,CEO,I lead an innovation department,Audit & Risk Management,Energy,,Colombia,More than 5 years
Middle Management,Director Corporativo de Energía Eléctrica ,I support innovation projects,Strategy,Education,,Colombia,Less than 1 year
Senior Management,CTO,I lead innovation projects,Facilities & Real Estate,Government,,Colombia,3 to 5 years
Junior Management,Asesoria en Marketing y Contabilidad,I support innovation projects,Production,Energy,,Colombia,Less than 1 year
Middle Management,Asistente de sistemas (Pasante),I support innovation projects,Facilities & Real Estate,,,Colombia,Less than 1 year
Middle Management,Asistente de innovación ,I support innovation projects,Facilities & Real Estate,IT & Telecommunications,,Colombia,
Middle Management,Coordinador,I lead innovation projects,Sales,Professional Services,,Colombia,1 to 3 years
Junior Management,Asesor Ingeniería de Proceso,Innovation is not part of my job,Finance & Administration,Life Science & Healthcare,,Colombia,Less than 1 year
Middle Management,Asesor de innovación,I lead an innovation department,Sales,,,,More than 5 years
Junior Management,Senior Analyst,I support innovation projects,Project or Program Management,,From 10 to 49,Brazil,1 to 3 years
,,,,,,,
Junior Management,Support Agent,I support innovation projects,Information Technology (IT),IT & Telecommunications,From 50 to 249,United States of America,1 to 3 years
Junior Management,IT Support,I support innovation projects,Information Technology (IT),IT & Telecommunications,From 10 to 49,United States of America,1 to 3 years
Senior Management,Principal,I lead an innovation department,Strategy,Professional Services,From 10 to 49,United States of America,More than 5 years
Junior Management,Consultant,I support innovation projects,Strategy,Other,From 10 to 49,Colombia,Less than 1 year
,,,,Finance & Insurance,250,,
Senior Management,senior consultant,I lead innovation projects,Project or Program Management,IT & Telecommunications,250,Norway,3 to 5 years
Junior Management,Marketing Analyst,I support innovation projects,Marketing & Communications,Other,From 10 to 49,United States of America,Less than 1 year
Middle Management,Key Accounts Manager ,I support innovation projects,Sales,Agriculture,From 10 to 49,Philippines,3 to 5 years
,,,Customer Service,,,United States of America,
Junior Management,Intern,I support innovation projects,Project or Program Management,,,,
Junior Management,Agent,Innovation is not part of my job,Human Resources (HR),,,,
Senior Management,,I lead an innovation department,,,,United States of America,More than 5 years
Senior Management,,I lead an innovation department,,,,Colombia,3 to 5 years
Senior Management,,I lead an innovation department,,,,United States of America,Less than 1 year
Middle Management,,I support innovation projects,,,,United States of America,Less than 1 year
,,I support innovation projects,,,,United States of America,Less than 1 year
Senior Management,,I support innovation projects,,,From 50 to 249,United Arab Emirates,More than 5 years
Middle Management,,I lead innovation projects,,,,,
Middle Management,,I support innovation projects,,,,,
Middle Management,,I support innovation projects,,,,Indonesia,More than 5 years
Middle Management,,I support innovation projects,,,,Indonesia,1 to 3 years
Middle Management,,I support innovation projects,,,,,
Middle Management,,I lead innovation projects,,,,,
Middle Management,,I support innovation projects,,,,Albania,Less than 1 year
Junior Management,IT Testing,I lead innovation projects,Customer Service,Energy,From 10 to 49,United States of America,Less than 1 year
Junior Management,IT Testing,Innovation is not part of my job,Compliance & Legal,Life Science & Healthcare,From 10 to 49,United States of America,Less than 1 year
Senior Management,Current Test,I lead an innovation department,Information Technology (IT),IT & Telecommunications,From 10 to 49,United States of America,Less than 1 year
Senior Management,IT Testing,I lead an innovation department,Information Technology (IT),IT & Telecommunications,From 10 to 49,United States of America,Less than 1 year
Middle Management,Market innovation manager ,I lead innovation projects,Strategy,Energy,250,Singapore,More than 5 years
Junior Management,IT Team testing,I lead innovation projects,Information Technology (IT),IT & Telecommunications,From 10 to 49,,1 to 3 years
Senior Management,Emprendedor,I lead an innovation department,Sales,Professional Services,,Colombia,1 to 3 years
,,,,Finance & Insurance,,Brazil,3 to 5 years
,,,,Education,,Brazil,More than 5 years
Senior Management,Head of Technology ,I lead an innovation department,Research & Development (R&D),Other,From 50 to 249,Brazil,3 to 5 years
,,,,Education,,Brazil,1 to 3 years
Junior Management,Coordenador,,Product Development,Pharma,From 50 to 249,Brazil,
,Analyst,,,Automotive,,,More than 5 years
,,,,Finance & Insurance,,Brazil,1 to 3 years
,,,,IT & Telecommunications,,Brazil,Less than 1 year
,,,,Education,,Brazil,More than 5 years
,,,,IT & Telecommunications,,Brazil,1 to 3 years
,,,,,,,
Middle Management,,I support innovation projects,Sales,Other,250,United Arab Emirates,More than 5 years
Middle Management,,I lead innovation projects,Corporate or Executive Management,,,,1 to 3 years
Middle Management,Assist Manager ,I support innovation projects,Customer Service,Energy,,United Arab Emirates,1 to 3 years
Senior Management,Director of Partnerships,I lead an innovation department,Corporate or Executive Management,Life Science & Healthcare,,United States of America,1 to 3 years
Junior Management,Sales Manager ,I lead innovation projects,Corporate or Executive Management,Energy,,United Arab Emirates,1 to 3 years
Junior Management,intern,I support innovation projects,Project or Program Management,IT & Telecommunications,,United States of America,Less than 1 year
Junior Management,Junior Consultant,I support innovation projects,Strategy,IT & Telecommunications,,United States of America,Less than 1 year
Middle Management,Sales & Senior Application Engineer,Innovation is not part of my job,Corporate or Executive Management,Energy,,United Arab Emirates,More than 5 years
Junior Management,Ejecutiva comercial ,I support innovation projects,Corporate or Executive Management,Life Science & Healthcare,,El Salvador,Less than 1 year
,Strategy and Innovation Consultant,I support innovation projects,Quality or Process Excellence,Professional Services,,United States of America,1 to 3 years
Middle Management,Consultant,I lead innovation projects,Quality or Process Excellence,Engineering & Manufacturing,,Norway,More than 5 years
Middle Management,Software Engineer,I lead innovation projects,Facilities & Real Estate,IT & Telecommunications,,El Salvador,Less than 1 year
Middle Management,Analista,I lead innovation projects,Strategy,,,,Less than 1 year
Middle Management,Consultor,I lead an innovation department,Sales,,,,3 to 5 years
Middle Management,Consultor,I lead innovation projects,Sales,Professional Services,,Nicaragua,1 to 3 years
Senior Management,CEO,I lead innovation projects,Strategy,IT & Telecommunications,,El Salvador,Less than 1 year
Junior Management,Auxiliar estadistico de produccion ,I lead innovation projects,Finance & Administration,IT & Telecommunications,,Colombia,Less than 1 year
Junior Management,Lider de gestion integral,Innovation is not part of my job,Information Technology (IT),IT & Telecommunications,,Colombia,Less than 1 year
Senior Management,Líder comercial,I support innovation projects,Strategy,Education,,Colombia,More than 5 years
Senior Management,La creadora,I lead innovation projects,Customer Service,Pharma,,Mexico,Less than 1 year
Middle Management,consultor,I support innovation projects,Product Management,Life Science & Healthcare,,Mexico,More than 5 years
Middle Management,Consultor en nuevas Tecnologias e innovación,I lead innovation projects,Facilities & Real Estate,Engineering & Manufacturing,,Colombia,More than 5 years
Senior Management,Dirección,I lead innovation projects,Sales,Pharma,,Mexico,1 to 3 years
Middle Management,Jefe de Innovación Digital,I lead innovation projects,Quality or Process Excellence,,,El Salvador,3 to 5 years
Senior Management,CTO,I lead an innovation department,Facilities & Real Estate,Engineering & Manufacturing,,Colombia,Less than 1 year
Junior Management,Undergraduate Research Assistant,I lead innovation projects,Sales,Energy,,United States of America,1 to 3 years
Middle Management,,I lead an innovation department,Audit & Risk Management,Agriculture,,,3 to 5 years
Senior Management,,I lead an innovation department,Compliance & Legal,Agriculture,,South Africa,More than 5 years
Senior Management,security consultant - program manager,Innovation is not part of my job,Quality or Process Excellence,Engineering & Manufacturing,,Norway,3 to 5 years
Senior Management,"Senior software developer (but not currently management at all - the ""seniority level"" in question 3 seems unsuitably phrased?)",I support innovation projects,Facilities & Real Estate,,,Norway,Less than 1 year
Senior Management,Senior consultant,Innovation is not part of my job,Facilities & Real Estate,Life Science & Healthcare,,Norway,3 to 5 years
Senior Management,CCO / Servant leader,I lead innovation projects,Corporate or Executive Management,Engineering & Manufacturing,,Norway,More than 5 years
Senior Management,,I lead innovation projects,Facilities & Real Estate,Engineering & Manufacturing,,,More than 5 years
,,,,Engineering & Manufacturing,,,More than 5 years
Middle Management,Project- and change manager,Innovation is not part of my job,Facilities & Real Estate,Education,,Norway,More than 5 years
,,,,Education,,,Less than 1 year
Senior Management,Senior consultant,I support innovation projects,Customer Service,Engineering & Manufacturing,,Norway,Less than 1 year
,,,,Engineering & Manufacturing,,,More than 5 years
Middle Management,Innovation Management Consultant,I lead innovation projects,Quality or Process Excellence,Life Science & Healthcare,,United States of America,1 to 3 years
Junior Management,,I support innovation projects,Quality or Process Excellence,Professional Services,,Albania,1 to 3 years
Junior Management,,,Corporate or Executive Management,Finance & Insurance,,Oman,More than 5 years
,Analista QA,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
Middle Management,Senior policy and communacation ,I support innovation projects,Production,IT & Telecommunications,,Norway,Less than 1 year
Junior Management,Fagleder Innovasjon og Partnerskap,I lead innovation projects,Audit & Risk Management,Finance & Insurance,,Norway,More than 5 years
Middle Management,Innovation Team Leader,I lead an innovation department,Strategy,Finance & Insurance,,Albania,More than 5 years
,,,,,,,
,,,,,,,
,,,Product Management,Finance & Insurance,,Colombia,More than 5 years
,,,Strategy,IT & Telecommunications,,Netherlands,More than 5 years
Senior Management,Dirección y Coordinación,I support innovation projects,Production,IT & Telecommunications,,Mexico,More than 5 years
Senior Management,CEO,I lead innovation projects,Compliance & Legal,Engineering & Manufacturing,,Mexico,More than 5 years
Senior Management,Managing Director,I lead an innovation department,Compliance & Legal,Life Science & Healthcare,,United States of America,More than 5 years
Senior Management,Mentor,I lead innovation projects,Strategy,Life Science & Healthcare,,United States of America,More than 5 years
Junior Management,Analyst Intern,I support innovation projects,Corporate or Executive Management,Professional Services,,United States of America,Less than 1 year
Senior Management,Manager,I support innovation projects,Strategy,,,Morocco,More than 5 years
Middle Management,Lider de proyecto,I support innovation projects,Corporate or Executive Management,IT & Telecommunications,,Mexico,3 to 5 years
,,,Product Management,Finance & Insurance,,Colombia,More than 5 years
Senior Management,Founder & Chief Enabler,I support innovation projects,Compliance & Legal,Agriculture,,South Africa,More than 5 years
,,,,,,,
Senior Management,"Projects coordinator and Entreprenures ""Founder""",I lead an innovation department,Quality or Process Excellence,Professional Services,,Palestine State,3 to 5 years
Junior Management,Head of Marketing,I support innovation projects,Production,Professional Services,,Albania,1 to 3 years
Middle Management,Lecturer,I lead innovation projects,Sales,Professional Services,,Albania,3 to 5 years
Junior Management,Analyst Consultant,I support innovation projects,Audit & Risk Management,IT & Telecommunications,,United States of America,Less than 1 year
,,,Information Technology (IT),,,,
Senior Management,COO,I lead innovation projects,Compliance & Legal,Life Science & Healthcare,,Norway,More than 5 years
Middle Management,Analista de proyectos de innovación,I support innovation projects,Quality or Process Excellence,IT & Telecommunications,,Colombia,1 to 3 years
Middle Management,Docente,,Strategy,IT & Telecommunications,,Colombia,More than 5 years
Middle Management,Responsable de los temas de innovación y Cooperación,,Strategy,IT & Telecommunications,,Colombia,More than 5 years
Middle Management,profesional,,"Procurement, Supply Chain & Logistics",Life Science & Healthcare,,Colombia,More than 5 years
Middle Management,"GESTOR DE TRANSFERENCIA, INNOVACIÓN Y MERCADOS",,Corporate or Executive Management,IT & Telecommunications,,Colombia,1 to 3 years
,,,,,,,
Junior Management,ASESOR ADMINISTRATIVO PROCESOS DE INNOVACIÓN,,Sales,Engineering & Manufacturing,,Colombia,More than 5 years
Senior Management,GERENTE,,Audit & Risk Management,Automotive,,Colombia,3 to 5 years
Senior Management,CEO,,Compliance & Legal,Engineering & Manufacturing,,Colombia,More than 5 years
Junior Management,Subdirector,,Compliance & Legal,IT & Telecommunications,,Colombia,Less than 1 year
Senior Management,Gerente General,,Compliance & Legal,Life Science & Healthcare,,Colombia,1 to 3 years
Middle Management,Docente,,"Procurement, Supply Chain & Logistics",Professional Services,,Colombia,More than 5 years
Senior Management,IIIAMET,,Strategy,Chemicals,,Colombia,More than 5 years
Middle Management,Dirección de proyectos,,Facilities & Real Estate,,,,3 to 5 years
Middle Management,lider de transferencia,,Sales,Professional Services,,Colombia,More than 5 years
Middle Management,trabajador ,,Quality or Process Excellence,Energy,,Colombia,3 to 5 years
Senior Management,R & D Manager ,,Sales,Engineering & Manufacturing,,United Kingdom,1 to 3 years
Junior Management,Direccion,,Corporate or Executive Management,IT & Telecommunications,,Colombia,More than 5 years
,,,,Finance & Insurance,,,More than 5 years
Junior Management,Docente - Investigador,,Sales,Professional Services,,Colombia,3 to 5 years
,,,,,,,More than 5 years
,,,,Energy,,,Less than 1 year
,,,,Engineering & Manufacturing,,,1 to 3 years
,,,,IT & Telecommunications,,,More than 5 years
,Officer - Wholesale Banking ,,,Finance & Insurance,,Oman,1 to 3 years
Middle Management,Head Retail Credit Approvals,,,Finance & Insurance,,Oman,More than 5 years
,Deputy Head - Large Corporate Banking ,,Compliance & Legal,Finance & Insurance,,Oman,More than 5 years
Junior Management,Analista de unidad I+D+i,,Sales,Engineering & Manufacturing,,Colombia,1 to 3 years
Senior Management,Directora Comercial,,Quality or Process Excellence,Engineering & Manufacturing,,Colombia,More than 5 years
Middle Management,Decano,,,,,,More than 5 years
Middle Management,Líder de Innovación,,Quality or Process Excellence,Energy,,El Salvador,More than 5 years
Middle Management,Coordinadora de Innovación y Emprendmiento,,Sales,Professional Services,,Colombia,1 to 3 years
Middle Management,Analista de Investigación y desarrollo Procesos,,Sales,Consumer Goods,,Colombia,Less than 1 year
Senior Management,Directora de Investigación,,Sales,,,Colombia,More than 5 years
Junior Management,Especialista en Innovacion,,Sales,IT & Telecommunications,,El Salvador,Less than 1 year
Junior Management,Officer,,Information Technology (IT),Finance & Insurance,,Oman,1 to 3 years
Junior Management,Gestora de formación,,Quality or Process Excellence,Professional Services,,Colombia,More than 5 years
Junior Management,GERENTE,,Corporate or Executive Management,Life Science & Healthcare,,Colombia,More than 5 years
Middle Management,Deput Head PMO,,Quality or Process Excellence,Finance & Insurance,,Oman,1 to 3 years
,Unit Head Islamic Liabilities & Banca Takaful ,,Customer Service,Finance & Insurance,,Oman,1 to 3 years
Junior Management,Relationship Manager ,,Corporate or Executive Management,IT & Telecommunications,,Oman,1 to 3 years
Junior Management,credit adminstration operation officer,,Audit & Risk Management,IT & Telecommunications,,Oman,3 to 5 years
Junior Management,Internal Auditor,,Information Technology (IT),Finance & Insurance,,Oman,3 to 5 years
,Senior Endpoint and Data Security Engineer,,Facilities & Real Estate,Finance & Insurance,,Oman,Less than 1 year
,Assistant manger in wholesale banking operation  & controlling ,,,Finance & Insurance,,Oman,More than 5 years
,,,,Professional Services,,,More than 5 years
Senior Management,Gerente General,,Compliance & Legal,IT & Telecommunications,,Colombia,More than 5 years
Junior Management,Especialista en finanzas y tecnologia,,Audit & Risk Management,IT & Telecommunications,,Colombia,Less than 1 year
Middle Management,,,Facilities & Real Estate,,,,
,,,,,,,
,,,Product Management,Finance & Insurance,,Colombia,More than 5 years
Middle Management,"FINANZAS, CONTABILIDAD Y RECURSOS HUMANOS",,Audit & Risk Management,Life Science & Healthcare,,Mexico,More than 5 years
Middle Management,liderar el equipo de innovacion,,Sales,Professional Services,,Peru,1 to 3 years
Middle Management,Ejecutiva de innovación,,Sales,Pharma,,Costa Rica,1 to 3 years
Senior Management,,,Compliance & Legal,Energy,,Colombia,More than 5 years
,Senior Regional Manager ,,Audit & Risk Management,Finance & Insurance,,Oman,More than 5 years
Middle Management,Manager Debt Strategy,,Audit & Risk Management,Finance & Insurance,,,More than 5 years
Junior Management,Assistant Manager,,Facilities & Real Estate,Finance & Insurance,,Oman,3 to 5 years
Junior Management,Account Relationship Manager,,Compliance & Legal,Finance & Insurance,,Oman,1 to 3 years
,Team Leader Saed Department,,Corporate or Executive Management,IT & Telecommunications,,Oman,More than 5 years
,Unit Head of IT Change Management ,,Facilities & Real Estate,IT & Telecommunications,,Oman,3 to 5 years
Senior Management,Procurement manager,,Audit & Risk Management,Finance & Insurance,,Oman,3 to 5 years
,Customer Acquisition Manager ,,Corporate or Executive Management,Finance & Insurance,,Oman,More than 5 years
Senior Management,Processer- export GTS ,,,Finance & Insurance,,Oman,3 to 5 years
,Information Security Vulnerability Assessor,,Information Technology (IT),Finance & Insurance,,Oman,1 to 3 years
Middle Management,Head of Executive Management’s Office,,Compliance & Legal,Finance & Insurance,,Oman,More than 5 years
Junior Management,Unit Head - Transaction banking sales,,Corporate or Executive Management,IT & Telecommunications,,Oman,3 to 5 years
,Business Development Manager ,,Compliance & Legal,Finance & Insurance,,Oman,More than 5 years
,Senior Associate Employee Experience,,Product Management,Finance & Insurance,,Oman,3 to 5 years
,,,Quality or Process Excellence,,,,
,Assist Manager,,,Finance & Insurance,,Oman,More than 5 years
,,,Audit & Risk Management,Finance & Insurance,,,1 to 3 years
,Head of Legal Advisory Unit,,Marketing & Communications,Finance & Insurance,,Oman,1 to 3 years
,Head of Endpoint & Data Security ,,Facilities & Real Estate,Finance & Insurance,,Oman,3 to 5 years
,Reporting & Data Specialist,,Production,Finance & Insurance,,Oman,3 to 5 years
,Legal Advisor,,Marketing & Communications,Finance & Insurance,,Oman,3 to 5 years
,Portfolio Manager,,,Finance & Insurance,,Oman,3 to 5 years
,"Head of Personal Banking, Voice of Customers (VOC) & Experience Design",,"Procurement, Supply Chain & Logistics",IT & Telecommunications,,Oman,Less than 1 year
,Deputy Head - Wholesale banking Operations ,,Audit & Risk Management,Finance & Insurance,,Oman,More than 5 years
,Administration Officer,,,IT & Telecommunications,,Oman,3 to 5 years
,Manager,,Information Technology (IT),Finance & Insurance,,Oman,Less than 1 year
,Officer,,Facilities & Real Estate,Finance & Insurance,,Oman,3 to 5 years
,Branch Manager ,,"Procurement, Supply Chain & Logistics",Finance & Insurance,,Oman,More than 5 years
,Assistant regional manager ,,,Finance & Insurance,,Oman,More than 5 years
,personal banker (officer),,Audit & Risk Management,Finance & Insurance,,Oman,3 to 5 years
,Head of eChannel's support ,,Facilities & Real Estate,Finance & Insurance,,Oman,More than 5 years
,IT auditor,,Information Technology (IT),Finance & Insurance,,Oman,1 to 3 years
,Translator & business management officer,,,IT & Telecommunications,,Oman,3 to 5 years
,Account Relationship Manager ,,,Finance & Insurance,,Oman,1 to 3 years
,Head Corporate Operations (Payroll/ACH & Transaction Authorization),,,Finance & Insurance,,Oman,More than 5 years
,BPM & eApplication Support,,Facilities & Real Estate,IT & Telecommunications,,Oman,1 to 3 years
,team leader in Meethaq RCO ,,,Agriculture,,Oman,More than 5 years
,assistant manager,,,Finance & Insurance,,Oman,3 to 5 years
,Manager,,,Finance & Insurance,,Oman,More than 5 years
,Head of Human Resources Development,,Product Management,Finance & Insurance,,Oman,More than 5 years
,Analista Senior de Selección y Desarrollo,,Product Management,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de gestión estratégica,,,Finance & Insurance,,Colombia,3 to 5 years
,,,,,,,
,Partner at IXL-CENTER Italy,,,Professional Services,,Italy,More than 5 years
,,,,,,,
,,,,IT & Telecommunications,,Colombia,More than 5 years
,Analista Profesional de Estados Financieros,,,IT & Telecommunications,,Colombia,Less than 1 year
,Product Owner,,Customer Service,Finance & Insurance,,Colombia,More than 5 years
,Comercial,,,Finance & Insurance,,Colombia,More than 5 years
,"Auxiliar de operaciones (visacion de documentos, consultas y atencion solicitud  de funcionarios)",,,Finance & Insurance,,Colombia,More than 5 years
,Scrum Master,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista Junior banca productos personas,,Project or Program Management,Finance & Insurance,,Colombia,More than 5 years
,Analista senior ,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de Sae,,,Finance & Insurance,,Colombia,1 to 3 years
,Director de reimaginación de procesos,,,Finance & Insurance,,Colombia,More than 5 years
,Analista ,,,Finance & Insurance,,Colombia,1 to 3 years
,Especialista Cash Management,,,Finance & Insurance,,Colombia,More than 5 years
,product owner,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinadora de calidad de soluciones,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,gestor Sae's,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de Proyectos,,,IT & Telecommunications,,Colombia,Less than 1 year
,Especialista financiera,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinadora de Servicios ,,,IT & Telecommunications,,Colombia,More than 5 years
,Analista Senior de Productos y Canales,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de servicio,,,IT & Telecommunications,,Colombia,More than 5 years
,Soy analista de marca y comunicaciones de la banca empresas,,,Finance & Insurance,,Colombia,Less than 1 year
,Auxiliar de SAES,,,Finance & Insurance,,Colombia,Less than 1 year
,especialista cash management,,,Finance & Insurance,,Colombia,More than 5 years
,Analista ,,Audit & Risk Management,Finance & Insurance,,Colombia,3 to 5 years
,Analista Senior de Selección y Desarrollo,,Product Management,IT & Telecommunications,,Colombia,Less than 1 year
,Analista de Operaciones,,,Finance & Insurance,,Colombia,Less than 1 year
,Médico laboral y Director SST,,,Finance & Insurance,,Colombia,1 to 3 years
,Gestor de Seguridad y Salud en el Trabajo,,Product Management,Finance & Insurance,,Colombia,1 to 3 years
,COORDINACION NOVEDADES BCA PERSONAS,,,Finance & Insurance,,Colombia,More than 5 years
,analista de compras,,,Finance & Insurance,,Colombia,More than 5 years
,Gestor de campañas ,,,Finance & Insurance,,Colombia,More than 5 years
,Directora de Sostenibilidad ,,,Finance & Insurance,,Colombia,1 to 3 years
,Coordinador de Gestión Estratégica,,,IT & Telecommunications,,Colombia,3 to 5 years
,Scrum Master,,,Finance & Insurance,,Colombia,More than 5 years
,Mi rol es brindar soporte en las políticas de asignación al área comercial de empresas,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinadora Protección de Datos ,,Marketing & Communications,Finance & Insurance,,Colombia,More than 5 years
,Lider funcional,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Evaluar los clientes sae´s ,,Quality or Process Excellence,Finance & Insurance,,Colombia,1 to 3 years
,"Auxiliar, apoyo y trabajo en equipo",,,Finance & Insurance,,Colombia,1 to 3 years
,auxiliar de servicios ucc,,,Finance & Insurance,,Colombia,More than 5 years
